sequence,concept,site_id,lookup_key,subject,family,prior_priority,current_disposition,current_status,mathematical_and_pedagogical_review,required_rework,acceptance_gate,recommended_visualisation,source_alignment,implementation_epic,estimated_effort,final_disposition,delivery_evidence
38,Act on the group,actions-regular-conjugation,"navTitle exact match: ""Act on the group""",Groups & symmetry,Actions & counting,P0,CORRECTED_RETAIN_GATE,"The current disposition reports the correction, but this audit did not independently recapture the live interaction.","The regular and conjugation actions are described correctly. The prompt asks for a cube quarter-turn and its moving axis, while ConjugationLab offers D₄, Q₈ and C₄ and no cube-axis control.",Either change the prompt to the supported small groups or implement the promised cube comparison. Display the two action formulas side by side with the same chosen elements.,Execute every instruction in the prompt using visible controls.,Same chosen group displayed under regular and conjugation actions with orbit/stabilizer comparison.,MH2220,E3-actions-symmetry,M,foundation laboratory delivered; teaching gate pending,Issue #33; lib/algebra/lab-contracts.json#actions-regular-conjugation; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
39,Cube colorings,actions-cube-burnside,"navTitle exact match: ""Cube colorings""",Groups & symmetry,Actions & counting,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The rotational and full-symmetry face-coloring formulas pass independent exact enumeration. The extra symmetry identification is a strong teaching opportunity.,Expose the full cycle-type ledger and show the two three-color rotational orbits merged by an improper symmetry. Explain why the improper elements alone are not a group to average over.,Recover 57 versus 56 three-color face-coloring orbits from the displayed group action.,Fixed-point table and orbit counter with each group element/class shown before the average is taken.,MH2220; Odyssey/cube visual strand,E3-actions-symmetry,L,pending,
40,Cycle structures,actions-cycle-lenses,"navTitle exact match: ""Cycle structures""",Groups & symmetry,Actions & counting,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The order formula involving the cyclic subgroup and action kernel is sound. It should follow, not replace, concrete cycle tracing.","Trace a quarter-turn through every feature set, then compare central inversion. Derive the kernel-intersection denominator by restricting the action homomorphism to ⟨g⟩.",Explain exactly when observed permutation order is smaller than group-element order.,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E3-actions-symmetry,L,pending,
41,Primitive actions,actions-primitive,"navTitle exact match: ""Primitive actions""",Groups & symmetry,Actions & counting,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,"The block correspondence is valuable, but primitive ⇔ maximal point stabilizer needs a nontrivial-degree convention. Under the displayed definition, a singleton action has only trivial blocks but Gₓ=G is not a proper maximal subgroup.","Require at least two points, or explicitly exclude degree-one actions from “primitive.” Work the opposite-pair block system of the square and identify its setwise stabilizer.",Prove the block/intermediate-subgroup correspondence with the boundary cases specified.,Block-system detector with degree-one boundary case and square opposite-pair example.,MH2220,E3-actions-symmetry,M,pending,
42,Frobenius groups,actions-frobenius,"navTitle exact match: ""Frobenius groups""",Groups & symmetry,Actions & counting,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.",The distinction between counting derangements and proving closure is excellent. The displayed proof remains an outline of a substantial character argument.,Label the Frobenius kernel theorem as imported until the induced-character construction is actually supplied. State whether regular actions are allowed by convention. Develop the affine-field example fully.,Verify the fixed-point condition and identify the kernel and complement in AGL₁(𝔽₅).,"Concept-specific actions & counting model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey Y1,E3-actions-symmetry,M,pending,
43,Sylow existence,mh2220-sylow-existence,"navTitle exact match: ""Sylow existence""",Groups & symmetry,Local & normal structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",Existence is not adequately taught by an induction summary that suppresses its key cases and imports Cauchy.,"Add Cauchy, then choose one complete proof with each induction case exposed. Visualize the action used in that proof rather than only displaying possible p-subgroups.",Explain where finiteness and the maximal power of p are used.,"Constraint solver for n_p ≡ 1 (mod p), n_p | |G|/p^a, linked to conjugation orbits and subgroup examples.",MH2220; Odyssey Y1,E5-advanced-groups,M,guided teaching and V07 laboratory delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; lib/algebra/sylow-workbench.ts; tests/sylow-workbench.test.mjs; tests/browser/sylow-workbench.spec.mjs
44,Sylow conjugacy,mh2220-sylow-conjugacy,"navTitle exact match: ""Sylow conjugacy""",Groups & symmetry,Local & normal structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The fixed-point argument on cosets is a good proof idea. The orbit-size arithmetic deserves explicit explanation.,Derive that p-group orbit sizes are powers of p and explain why an action on a set of size prime to p has a fixed point. Translate that fixed coset into containment and conjugacy.,Reconstruct the proof from the action on G/P without memorizing the conclusion.,"Constraint solver for n_p ≡ 1 (mod p), n_p | |G|/p^a, linked to conjugation orbits and subgroup examples.",MH2220; Odyssey Y1,E5-advanced-groups,M,guided teaching and V07 laboratory delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; lib/algebra/sylow-workbench.ts; distinct P/Q fixed-coset witness
45,Sylow counts,mh2220-sylow-counts,"navTitle exact match: ""Sylow counts""",Groups & symmetry,Local & normal structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The congruence and divisibility restrictions are useful, but they are necessary conditions, not an existence algorithm for arbitrary group orders.",Prove the normalizer formula and the unique fixed-Sylow step in the conjugation argument. Include a case where arithmetic leaves several possibilities and a further group argument is required.,Distinguish an admissible arithmetic count from a realized Sylow configuration.,"Constraint solver for n_p ≡ 1 (mod p), n_p | |G|/p^a, linked to conjugation orbits and subgroup examples.",MH2220; Odyssey Y1,E5-advanced-groups,M,guided teaching and V07 laboratory delivered,lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; issue #46; lib/algebra/sylow-workbench.ts; normalizer and arithmetic failure state
46,Composition factors,mh2220-simple-composition,"navTitle exact match: ""Composition factors""",Groups & symmetry,Local & normal structure,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The site honestly marks Jordan–Hölder as unproved. Preserve that honesty rather than turning its statement into a misleading “complete proof” tab.,"Define subnormal, composition and chief series separately. Compute all factors in the S₄ series and explain uniqueness up to order/isomorphism; give the refinement lemma only with prerequisites.",Identify a composition series and distinguish its factors from its subgroups.,Arithmetic lattice/factorization workbench with norm descent and unit-associate normalization.,MH2220; Odyssey Y1,E5-advanced-groups,L,pending,
47,Prime-power groups,mh2220-p-groups,"navTitle exact match: ""Prime-power groups""",Groups & symmetry,Local & normal structure,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The center argument is accessible; the additional normalizer and Frattini material is much more compressed.,"Make nontrivial center a complete class-equation proof. Use induction on central quotients for nilpotence, and split the normalizer condition and Frattini quotient into follow-on lessons.",Explain why a finite p-group has nontrivial center but need not be abelian.,"Constraint solver for n_p ≡ 1 (mod p), n_p | |G|/p^a, linked to conjugation orbits and subgroup examples.",MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
48,Hall subgroups & complements,group-complements,"navTitle exact match: ""Hall subgroups & complements""",Groups & symmetry,Local & normal structure,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.",Schur–Zassenhaus is a major theorem; the current proof invokes cocycles and averaging without teaching the reduction.,"Keep the S₃ versus C₄ split/nonsplit example. Put definitions of extensions, sections and complements first; label the general theorem imported or supply the full induction. Separate existence from conjugacy hypotheses.",Show explicitly why the order-two subgroup of C₄ has no complement.,"Concept-specific local & normal structure model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
49,Solvable groups,group-solvable,"navTitle exact match: ""Solvable groups""",Groups & symmetry,Local & normal structure,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.","Derived series, composition factors, Hall subgroups and affine primitive groups are too much for one short lesson.","Teach the derived series with explicit commutator calculations in S₃ and S₄. Separate Hall’s theorem and solvable primitive groups. Clarify that each relevant subgroup is contained in some Hall subgroup, not necessarily one fixed Hall subgroup.",Prove closure under extensions and distinguish solvable from nilpotent.,"Concept-specific local & normal structure model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
50,Nilpotence & Frattini,group-nilpotent,"navTitle exact match: ""Nilpotence & Frattini""",Groups & symmetry,Local & normal structure,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.","Central-series equivalences are substantial, and Φ(P) needs a definition before its quotient is displayed.","Separate upper/lower central series, finite Sylow characterizations, Frattini’s generator theorem and the Fitting subgroup. Compute Q₈’s two series and prove the generator-lifting statement for P/Φ(P).",Distinguish derived length from nilpotency class and use the Frattini quotient to test generators.,"Concept-specific local & normal structure model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
51,Burnside’s solvability theorem,characters-burnside,"navTitle exact match: ""Burnside’s solvability theorem""",Groups & symmetry,Local & normal structure,P0,CORRECTED_RETAIN_GATE,The current source and dedicated regression tests encode the main correction. Pedagogical depth still needs improvement.,The two-prime theorem is assigned machine “coloring”; the renderer therefore opens the necklace/bracelet lab. This contradicts the lesson’s own warning not to confuse the two Burnside results. “Scalar kernel” also needs precise terminology.,Replace the lab with the class-size/centralizer argument. Define the scalar preimage separately from an ordinary representation kernel. Supply the character-arithmetic lemma or mark the proof as a roadmap.,No necklace controls appear; a reader can follow why a Sylow-central element produces a prime-power class size.,Class-size/centralizer dependency map; never reuse the necklace-counting lab.,MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
52,Finite matrices,mh2220-finite-matrices,"navTitle exact match: ""Finite matrices""",Groups & symmetry,Linear & projective groups,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Counting independent columns and identifying an upper-unitriangular Sylow subgroup are good connections, but require finite-field linear algebra first.","Begin with GL₂(𝔽₂), visibly exclude dependent columns and then generalize the count. Show triangular p-subgroups explicitly and identify the exact action used in the embedding argument.",Count GL₂(𝔽₃) by independent columns and identify its p-part.,"Concept-specific linear & projective groups model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
53,General linear groups,odyssey-linear-groups,"navTitle exact match: ""General linear groups""",Groups & symmetry,Linear & projective groups,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The determinant map and GL/SL distinction are sound. Geometric volume intuition should remain explicitly restricted to real matrices.,"Add a shear, a scaling, a rotation and a singular map; state what each preserves. Prove surjectivity of determinant and connect its kernel to the first isomorphism theorem.",Exhibit an SL matrix that is not orthogonal and explain the quotient by SL.,"Concept-specific linear & projective groups model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
54,Flags,odyssey-flags,"navTitle exact match: ""Flags""",Groups & symmetry,Linear & projective groups,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","The column-vector convention and warning that GL/B is a G-set, not usually a quotient group, are strong. Borel, parabolic, Levi and Kolchin material is overcompressed in further reading.","Build a nonstandard flag and an adapted basis. Derive the forced zero entries. Split partial flags, block stabilizers and unipotent triangularization into their own advanced sequence.",Determine the stabilizer shape of a specified partial flag.,Interactive nested-subspace flag with stabilizer/parabolic matrix-pattern overlay.,MH2220; Odyssey Y1,E5-advanced-groups,L,pending,
55,Bruhat decomposition,linear-bruhat,"navTitle exact match: ""Bruhat decomposition""",Groups & symmetry,Linear & projective groups,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.","The two-cell counting example is not yet a worked triangular factorization, and uniqueness is hidden behind “appropriate ranks.”","Factor concrete 2×2 matrices into b₁wb₂, state the rank invariants explicitly and connect them to two flags. Only then extend to arbitrary n and cell counting.","Decide the 2×2 cell and exhibit valid triangular factors, not just its cardinality.",Matrix elimination path into BWB cells with permutation labels and cell dimensions.,MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
56,Projective special linear groups,linear-projective,"navTitle exact match: ""Projective special linear groups""",Groups & symmetry,Linear & projective groups,P2,PARTIAL_ADVANCED,"Advanced material has a worked illustration or proof roadmap, but remains compressed and source-dependent.","The order formula is useful, but simplicity relies on primitivity, transvections, generation and perfectness that are only summarized.","Separate projective points, scalar kernels, the finite order calculation and the simplicity theorem. Explain the two exceptions and provide a real argument for PSL₂(𝔽₅)≅A₅ rather than infer it from order alone.",Compute the quotient order and state exactly which earlier theorems support simplicity.,"Concept-specific linear & projective groups model with prediction, invariant readout, counterexample and theorem debrief.",MH2220; Odyssey Y1,E5-advanced-groups,M,pending,
57,Homomorphisms,mh2220-homomorphism,"navTitle exact match: ""Homomorphisms""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The map, kernel and image are present, but their roles need one continuous example. The multiplicative codomain notation includes malformed F× text.","Use reduction ℤ→ℤ/nℤ and a non-surjective inclusion to distinguish image from codomain. Prove preservation of identity and inverse, then describe fibers as cosets of the kernel. Repair superscripts.","Given an explicit map, verify the law and determine its kernel, image and fibers.","Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-homomorphism; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
58,Isomorphisms,mh2220-isomorphism,"navTitle exact match: ""Isomorphisms""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Bijective homomorphisms and structural sameness are stated, but learners need to construct a map rather than compare appearances.",Prove the inverse of a bijective homomorphism is a homomorphism. Compare a successful isomorphism with groups of equal size that differ in element orders. State that matching a few invariants is not a proof of isomorphism.,"Give an explicit isomorphism and separately verify homomorphism, injectivity and surjectivity.","Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-isomorphism; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
59,First isomorphism theorem,mh2220-first-isomorphism,"navTitle exact match: ""First isomorphism theorem""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The fiber idea is right. The proof should make the induced map, its domain and every verification visible together.","Work ℤ→ℤ/6ℤ and a genuinely non-surjective map. Display the factorization diagram and expand well-definedness, homomorphism, injectivity and surjectivity as four separate steps.",Prove G/ker φ≅im φ without replacing the image by an unjustified larger codomain.,"Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-first-isomorphism; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
60,Second isomorphism theorem,mh2220-second-isomorphism,"navTitle exact match: ""Second isomorphism theorem""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The statement is useful, but inconsistent letters between statement and prompt make an already subtle quotient harder to track.","Use one notation throughout. Identify the restriction H→HN/N, calculate its kernel H∩N and invoke the first theorem. Show one concrete nontrivial example with all subgroup orders.","State why HN is a subgroup, why the needed normality holds and where the isomorphism sends a coset.","Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-second-isomorphism; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
61,Third isomorphism theorem,mh2220-third-isomorphism,"navTitle exact match: ""Third isomorphism theorem""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Nested quotients are compressed, and names in the experiment do not consistently match the displayed statement.","Use N≤M◁G with both subgroups normal as required, then explicitly map gN to gM. Work a two-stage quotient of a finite cyclic group and show representative independence.",Explain what an element of (G/N)/(M/N) is and why it corresponds to one G/M coset.,"Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-third-isomorphism; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
62,Correspondence,mh2220-correspondence,"navTitle exact match: ""Correspondence""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The lattice bijection is important but needs an example where taking inverse images actually does work.,"Draw subgroups above a fixed normal N alongside subgroups of G/N, label the two inverse operations and prove inclusion and normality preservation. Explain what happens to subgroups not containing N.",Reconstruct the subgroup lattice of a quotient from the interval above its kernel.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH2220,E2-maps-quotients,M,guided-content-delivered; laboratory gate pending,Issue #32; lib/algebra/guided-lessons.json#mh2220-correspondence; tests/guided-content.test.mjs; retained original source/proof status; concept-specific laboratory work remains.
63,Ring maps,m3220-ring-hom,"navTitle exact match: ""Ring maps""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The site deliberately allows nonunital ring conventions. That is defensible, but the learner must not silently import the unital convention from elsewhere.",Display a convention badge and compare a ring map preserving 1 with one that does not. Prove the kernel is a two-sided ideal and the image is a subring; use evaluation and reduction maps.,Check exactly which axioms a proposed ring homomorphism preserves under the stated convention.,"Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,guided teaching gate delivered; lesson-specific laboratory pending,"Issue #49; lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; unital and nonunital maps, kernel/image"
64,Ring isomorphisms,m3220-first-ring-isomorphism,"navTitle exact match: ""Ring isomorphisms""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Factorization through a quotient and the first ring isomorphism theorem are present, but too compressed for independent use.","Work an evaluation map and its kernel. Keep descent through an ideal, the induced map and the resulting image isomorphism as distinct claims with separate verification.",Construct R/I→S when I⊆ker φ and explain when this induced map is injective or surjective.,"Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,guided teaching gate delivered; lesson-specific laboratory pending,"Issue #49; lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; induced map kernel, image and exact injectivity/surjectivity conditions"
65,Ring correspondence,m3220-ring-correspondence,"navTitle exact match: ""Ring correspondence""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",Correspondence and the second and third ring isomorphism theorems are bundled into one capsule without enough worked arithmetic.,"Separate the results into clearly labelled subsections or lessons. Match ideals above I to ideals of R/I and work examples in ℤ and F[X], including prime/maximal preservation.",Lift an ideal from a quotient and apply the correct isomorphism theorem rather than match a memorized pattern.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH2220,E2-maps-quotients,M,pending,
66,Linear isomorphism theorem,linear-quotient,"navTitle exact match: ""Linear isomorphism theorem""",Maps & quotients,Kernels & isomorphisms,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",This is a good concrete bridge: finite-field fibers make the quotient visible. It deserves to occur earlier in the module route.,"Add a real rank-one geometric example and an adapted-basis calculation. Derive rank–nullity in finite dimension, explicitly distinguishing the image from the codomain.",Build a basis of V/ker T and identify its image under the induced isomorphism.,"Commutative-diagram lab with draggable elements, kernel/image fibers and well-definedness checks.",MH2220,E2-maps-quotients,M,pending,
67,Cosets,mh2220-cosets,"navTitle exact match: ""Cosets""",Maps & quotients,Quotients & equivalence,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Left/right cosets are defined, but students need a failed-normality example and an explanation of why cosets partition rather than overlap arbitrarily.","List the cosets of an order-two subgroup in S₃. Prove the equality/disjointness criterion, compare left and right cosets and keep cosets distinct from conjugacy classes.",Determine whether two representatives name the same coset and justify equal coset sizes.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH2220,E2-maps-quotients,M,guided-content and foundation laboratory delivered; full concept gate pending,Issue #32 authored teaching; Issue #33; lib/algebra/lab-contracts.json#mh2220-cosets; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
68,Normality,mh2220-normal,"navTitle exact match: ""Normality""",Maps & quotients,Quotients & equivalence,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The distinction between normal and central is important and largely correct. Several equivalent tests need one unifying example.,"Show how conjugation moves a subgroup and why normality means it returns as a set, not that its elements are fixed. Use A₃ and a transposition subgroup of S₃. Repair malformed quotient/set notation.",Exhibit a normal subgroup that is not central and a subgroup that is not normal.,Arithmetic lattice/factorization workbench with norm descent and unit-associate normalization.,MH2220,E2-maps-quotients,M,guided-content and foundation laboratory delivered; full concept gate pending,Issue #32 authored teaching; Issue #33; lib/algebra/lab-contracts.json#mh2220-normal; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
69,Quotient groups,mh2220-quotient,"navTitle exact match: ""Quotient groups""",Maps & quotients,Quotients & equivalence,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","Well-defined multiplication is addressed, but it is the central reason normality is needed and should not be a quick formal aside.","Compare a valid quotient with the attempted product of cosets of a nonnormal S₃ subgroup, using two representatives to produce incompatible outputs. Then derive the quotient law in full.",Explain why quotienting is not deleting elements and why arbitrary coset spaces are not quotient groups.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH2220,E2-maps-quotients,M,guided-content and foundation laboratory delivered; full concept gate pending,Issue #32 authored teaching; Issue #33; lib/algebra/lab-contracts.json#mh2220-quotient; tests/foundation-labs.test.mjs; tests/browser/foundation-labs.spec.mjs. Finite foundation experiment verified; final per-concept review and remaining teaching requirements stay open.
70,Automorphisms,mh2220-automorphism,"navTitle exact match: ""Automorphisms""",Maps & quotients,Quotients & equivalence,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.","Aut, Inn and the center appear together, with characteristic subgroups introduced deeper down. The constructions need separation.",Compute Aut(Cₙ) from generator images and Aut(V₄) from its three nonzero elements. Derive Inn(G)≅G/Z(G). Give an example showing normal need not mean characteristic.,Specify an automorphism by its effect on generators and check that all defining relations are preserved.,"Concept-specific quotients & equivalence model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E2-maps-quotients,L,pending,
71,Semidirect products,mh2220-semidirect,"navTitle exact match: ""Semidirect products""",Maps & quotients,Quotients & equivalence,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The multiplication law is correct but too abstract without seeing the action that twists it.,"Build S₃ from C₃ and C₂ with inversion, compare the trivial action giving C₆, and prove the group law from the action homomorphism. Add the internal splitting criterion and a nonsplit example.",Recover the action and multiplication from a stated normal subgroup and complement.,"Product/extension constructor with multiplication law, action compatibility and subgroup structure views.",MH2220,E2-maps-quotients,M,pending,
72,Coset actions,mh2220-coset-action,"navTitle exact match: ""Coset actions""",Maps & quotients,Quotients & equivalence,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.",The core calculation is sound. The learner needs to see why left multiplication remains an action even when H is not normal.,"Use S₃/H explicitly, calculate the action permutations and intersect conjugates of H. Contrast the coset action with the existence of a quotient-group multiplication.",Compute the action kernel and explain the factorial-index consequence.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH2220,E2-maps-quotients,M,pending,
73,Double cosets,mh2220-double-cosets,"navTitle exact match: ""Double cosets""",Maps & quotients,Quotients & equivalence,P2,OPEN_REFERENCE_ONLY,"Reading/reference entry exists, but the current disposition explicitly says the worked example is not developed.",The size formula has real explanatory power but is currently presented before enough concrete partitioning.,"Enumerate H\\G/K for a small example, explain the H-action on G/K and derive the stabilizer H∩gKg⁻¹. Show that double cosets need not all have the same size.",Compute both a double coset and its cardinality from the intersection formula.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH2220,E2-maps-quotients,L,pending,
74,Quotient rings,m3220-quotient-ring,"navTitle exact match: ""Quotient rings""",Maps & quotients,Quotients & equivalence,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The well-definedness mechanism is correct. The text alternates between ℤ[X]→ℤ[i] and ℝ[X]→ℂ, which are parallel examples but not the same proof instance.","Keep the coefficient ring fixed through each worked example. Derive why an ideal, not an arbitrary additive subgroup or subring, makes multiplication descend.",Prove the evaluation kernel in one quadratic quotient and explain why representatives multiply consistently.,Partition/fiber view synchronized with the quotient operation and the relevant commuting map.,MH2220,E2-maps-quotients,M,guided teaching and V10 laboratory delivered,Issue #49; lib/algebra/guided-lessons.json; lib/algebra/learning-metadata.json; tests/guided-content.test.mjs; tests/progress.test.mjs; lib/algebra/ideal-quotients.ts; components/algebra/IdealQuotientLattice.tsx; tests/ideal-quotients.test.mjs; tests/browser/ideal-quotients.spec.mjs; representative-independence failure and quadratic quotient
75,Direct products,mh2220-direct-product,"navTitle exact match: ""Direct products""",Maps & quotients,Products & coordinates,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","External products, element-order lcm and the internal product criterion are compressed together.","Separate pairwise operations from an internal product map H×K→G. Verify commuting factors, trivial intersection and generation. Compare C₂×C₂ with C₄ and direct with semidirect products.",Decide whether two subgroups really realize an internal direct product.,"Product/extension constructor with multiplication law, action compatibility and subgroup structure views.",MH2220,E2-maps-quotients,M,pending,
76,Chinese remainders,m3220-crt,"navTitle exact match: ""Chinese remainders""",Maps & quotients,Products & coordinates,P1,FIRST_PASS_REWORK,"Current disposition reports worked feedback, but the prior critique remains a useful specification for stronger first teaching.","The coprime theorem is right, but a learner needs the reconstruction map, not just the forward residues.",Explicitly reconstruct a residue modulo 12 from residues modulo 3 and 4; calculate the associated idempotents. Then show how noncoprime moduli impose compatibility rather than arbitrary independent coordinates.,"Solve and explain a CRT reconstruction, including why uniqueness has the stated modulus.","Concept-specific products & coordinates model with prediction, invariant readout, counterexample and theorem debrief.",MH2220,E2-maps-quotients,M,pending,
